weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
houston_ssp245_near_2030s_heatwave_extreme_2039,Houston,ssp245,near_2030s,heatwave_extreme,2039,0.30513943644718095,0.0066437283796807614,0.8035623507162857,0.025566606938151392,0.18568377442783152,0.5804579766126341,0.4306666666666664,0.02091191730523627
houston_ssp245_near_2030s_hot_2038,Houston,ssp245,near_2030s,hot,2038,0.33846073567601165,0.007295101989442822,0.7549695707791801,0.027304164133455548,0.15640001981228113,0.5398220807756621,0.42933333333333334,0.021835727969348653
houston_ssp245_near_2030s_typical_2033,Houston,ssp245,near_2030s,typical,2033,0.33846073567601165,0.006367339490671295,0.7416815719769159,0.025009564824001226,0.15376274776387344,0.5042294793440651,0.4239999999999997,0.02073219987228608
houston_ssp585_baseline_2020s_heatwave_extreme_2025,Houston,ssp585,baseline_2020s,heatwave_extreme,2025,0.3270316154301415,0.006625771418334017,0.7242376377236115,0.02529620246062507,0.1441874647055076,0.4210734976959152,0.3866666666666665,0.02100682471264368
houston_ssp585_baseline_2020s_hot_2026,Houston,ssp585,baseline_2020s,hot,2026,0.2834625763653741,0.006660535303181312,0.7327474967670913,0.025651670319380225,0.1572985915469735,0.5385665625664954,0.41333333333333333,0.022116459131545335
houston_ssp585_baseline_2020s_typical_2025,Houston,ssp585,baseline_2020s,typical,2025,0.3270316154301415,0.006625771418334017,0.7242376377236115,0.02529620246062507,0.1441874647055076,0.4210734976959152,0.3866666666666665,0.02100682471264368
houston_ssp585_late_2080s_heatwave_extreme_2086,Houston,ssp585,late_2080s,heatwave_extreme,2086,0.3371933016604868,0.009285551898847007,0.8918486110235021,0.03040511191932039,0.14711474573928623,0.3938504927050962,0.31599999999999995,0.02364256066411239
houston_ssp585_late_2080s_hot_2080,Houston,ssp585,late_2080s,hot,2080,0.33976899016930906,0.008734451230801165,0.9529923622736972,0.02970300966561126,0.20796282249910095,0.5122072494237,0.41400000000000037,0.02342712324393359
houston_ssp585_late_2080s_typical_2088,Houston,ssp585,late_2080s,typical,2088,0.33976899016930906,0.00904547786009792,0.9529923622736972,0.03018048306216874,0.16517388240187603,0.517149762650448,0.3886666666666666,0.02359913793103448
houston_ssp585_mid_2050s_heatwave_extreme_2059,Houston,ssp585,mid_2050s,heatwave_extreme,2059,0.35510406237896536,0.007455770755821022,0.8089793237733884,0.026850726914264975,0.15750300522399965,0.5173223241669753,0.366,0.02132116060025543
houston_ssp585_mid_2050s_hot_2058,Houston,ssp585,mid_2050s,hot,2058,0.33389369146702375,0.007570213138620582,0.8222871611947414,0.02733413842684676,0.15930195375234973,0.5239775396677208,0.42733333333333334,0.02240146072796935
