group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,ordinal,broad_tail,0.33,2405376,36080640,89202.28406784966,1703432,73649,64982,325239,435874,362225,251590,3.061849789804172,2.701531901873137,13.521337204661558,18.120826016389955,15.058976226585782,10.459487414857387,3.708454897190695,4.721180112104442
global,ordinal,broad_tail,0.34,2405376,36080640,89179.70750011542,1703027,57675,50693,313537,435830,378155,255862,2.397754030970626,2.107487561196254,13.034843616964666,18.11899678054491,15.721242749574287,10.63708958599404,3.7075163093052983,4.720057626472258
global,ordinal,broad_tail,0.35,2405376,36080640,89179.09352312937,1703019,44541,37407,277088,435829,391288,232547,1.8517271312260535,1.5551414830779053,11.519529587058324,18.11895520700298,16.267228075776927,9.66780245583227,3.7074907841073235,4.7200354539165605
global,ordinal,broad_tail,0.36,2405376,36080640,89115.89117436307,1701751,34170,26874,266641,435825,401655,232471,1.4205679278416348,1.1172473659003832,11.085210794487017,18.11878891283525,16.698220984993615,9.664642866645382,3.70486323861064,4.716521103838513
global,ordinal,broad_tail,0.37,2405376,36080640,66364.17159120791,1265506,26535,19183,225445,384913,358378,198910,1.1031539351851851,0.7975052548957003,9.372547161025969,16.002196745955725,14.89904281077054,8.269393225840783,2.758993670478458,3.507437783808713
global,ordinal,broad_tail,0.38,2405376,36080640,38478.530664225946,816945,21032,13906,167686,295159,274127,146655,0.8743747339293317,0.5781216741166454,6.971300952532992,12.270805063324818,11.396430329395487,6.096967792145594,1.5996888080793168,2.2642198142826735
global,ordinal,broad_tail,0.39,2405376,36080640,29159.412960966958,653802,17021,10349,143461,249422,232401,126440,0.7076232572371222,0.4302445854618987,5.964181899212431,10.369355975947212,9.66173271871009,5.2565586419753085,1.2122600774667642,1.8120576575138356
global,ordinal,broad_tail,0.4,2405376,36080640,27912.15243698054,625338,13815,7840,136980,241883,228068,123165,0.5743384818007663,0.3259365687526607,5.69474377394636,10.055933043316305,9.48159456151554,5.120405292145594,1.160407039771767,1.7331677043422735
global,ordinal,outermost,0.025,2405376,36080640,711073.1840776853,11614766,801081,699806,1342748,1667695,866614,542756,33.30377454501915,29.093414085781184,55.82279028309919,69.3319880135164,36.028213468497235,22.564289325244786,29.561830835498704,32.19113075599546
global,ordinal,outermost,0.05,2405376,36080640,174149.87040638758,3247240,264274,174848,568416,729739,465465,304146,10.986806220732227,7.269050659855257,23.631066411238823,30.337834916453808,19.351028695721585,12.644426484674328,7.240026939920726,8.999951220377465
